               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12278,            0.047519,            0.065421,          0.00075989,            0.042458,          0.00073003,          0.00019398,            0.081715,             0.01913,            0.041351,              0.0706,           0.0032667,           0.0032667
                   1,            0.097712,            0.049969,            0.060352,             0.11756,            0.066053,            0.008726,           0.0018465,            0.068808,            0.022803,            0.039124,            0.040535,           0.0065347,           0.0065347
                   2,            0.086084,            0.045301,            0.057587,            0.044632,             0.14312,            0.025734,           0.0065441,            0.065976,            0.016532,            0.038605,            0.010403,           0.0097367,           0.0097367
                   3,            0.077922,            0.046005,            0.056082,             0.14753,             0.14418,            0.040033,           0.0090968,            0.053717,            0.016857,            0.036888,            0.009703,            0.009703,            0.009703
                   4,            0.070235,            0.045157,            0.053723,            0.059465,             0.25656,            0.073897,            0.019563,            0.050102,            0.016279,            0.035431,            0.009703,            0.009703,            0.009703
                   5,            0.065039,            0.044557,            0.050794,            0.063954,              0.2546,            0.068644,            0.015635,            0.050369,             0.01602,            0.034752,            0.009604,            0.009604,            0.009604
                   6,            0.061896,            0.044452,            0.049457,             0.12525,             0.42761,             0.17597,            0.052677,            0.043692,             0.01657,            0.034355,            0.009505,            0.009505,            0.009505
                   7,            0.059117,            0.042633,            0.047106,             0.17236,             0.40538,             0.23202,            0.079069,            0.043627,            0.015697,            0.032852,            0.009406,            0.009406,            0.009406
                   8,            0.057712,            0.042207,            0.045119,             0.20348,             0.42921,             0.26421,            0.079102,            0.042027,            0.015985,            0.032082,            0.009307,            0.009307,            0.009307
                   9,             0.05601,            0.043541,            0.043368,             0.33082,             0.50172,             0.38661,              0.1627,            0.037039,            0.015652,            0.030758,            0.009208,            0.009208,            0.009208
                  10,            0.054735,            0.043068,            0.041553,             0.36204,             0.59092,             0.43233,             0.16514,            0.034878,            0.016421,            0.030052,            0.009109,            0.009109,            0.009109
                  11,            0.053419,            0.042704,            0.039923,             0.29731,             0.54883,             0.41224,             0.16316,             0.03747,            0.016165,            0.028912,             0.00901,             0.00901,             0.00901
                  12,            0.053735,            0.039855,            0.037458,             0.30616,              0.5398,             0.36597,             0.13563,            0.037191,            0.016459,            0.027721,            0.008911,            0.008911,            0.008911
                  13,            0.052115,             0.04027,            0.037612,             0.41652,             0.60339,             0.48606,             0.19434,            0.034683,            0.015984,            0.027493,            0.008812,            0.008812,            0.008812
                  14,            0.051763,            0.040134,            0.036535,             0.38847,             0.59618,             0.49161,             0.16922,            0.035807,            0.015699,            0.026001,            0.008713,            0.008713,            0.008713
                  15,            0.051185,            0.042973,            0.035387,             0.40929,             0.55414,             0.44038,             0.18817,            0.033873,            0.015425,            0.031078,            0.008614,            0.008614,            0.008614
